date,ULTOSC
2014-08-01,57.3456
2014-08-04,64.9841
2014-08-05,53.8194
2014-08-06,52.004
2014-08-07,50.7647
2014-08-08,52.9487
2014-08-11,52.5506
2014-08-12,54.1685
2014-08-13,51.4973
2014-08-14,50.0063
2014-08-15,52.6376
2014-08-18,58.0529
2014-08-19,59.9202
2014-08-20,65.6886
2014-08-21,63.9114
2014-08-22,61.5976
2014-08-25,64.0152
2014-08-26,57.13
2014-08-27,64.4659
2014-08-28,63.9189
2014-08-29,69.1059
2014-09-02,63.1223
2014-09-03,59.809
2014-09-04,55.4499
2014-09-05,58.8816
2014-09-08,51.835
2014-09-09,43.6251
2014-09-10,46.595
2014-09-11,50.3582
2014-09-12,44.2834
2014-09-15,50.1772
2014-09-16,43.8874
2014-09-17,43.6386
2014-09-18,53.413
2014-09-19,46.7035
2014-09-22,40.999
2014-09-23,38.2298
2014-09-24,43.9594
2014-09-25,40.2205
2014-09-26,49.7965
2014-09-29,50.9452
2014-09-30,44.2512
2014-10-01,41.0231
2014-10-02,45.3258
2014-10-03,40.9546
2014-10-06,42.9842
2014-10-07,35.3341
2014-10-08,40.153
2014-10-09,38.3022
2014-10-10,36.2867
2014-10-13,26.8186
2014-10-14,24.6941
2014-10-15,32.5893
2014-10-16,39.0034
2014-10-17,32.5196
2014-10-20,38.4732
2014-10-21,45.2687
2014-10-22,49.5501
2014-10-23,55.3305
2014-10-24,51.7449
2014-10-27,45.0826
2014-10-28,50.66
2014-10-29,45.4872
2014-10-30,47.4263
2014-10-31,55.3228
2014-11-03,50.8318
2014-11-04,44.6027
2014-11-05,45.0925
2014-11-06,44.0414
2014-11-07,47.2914
2014-11-10,43.0193
2014-11-11,43.8044
2014-11-12,49.8902
2014-11-13,56.0223
2014-11-14,57.2803
2014-11-17,55.5465
2014-11-18,56.8288
2014-11-19,58.4107
2014-11-20,59.6377
2014-11-21,52.8948
2014-11-24,54.0565
2014-11-25,53.501
2014-11-26,52.7802
2014-11-28,33.8813
2014-12-01,33.2531
2014-12-02,29.911
2014-12-03,32.0343
2014-12-04,38.3064
2014-12-05,36.6383
2014-12-08,34.9728
2014-12-09,47.7082
2014-12-10,42.38
2014-12-11,40.0731
2014-12-12,34.5571
2014-12-15,30.0085
2014-12-16,31.4088
2014-12-17,37.76
2014-12-18,41.4306
2014-12-19,48.3356
2014-12-22,48.2831
2014-12-23,55.0473
2014-12-24,54.6347
2014-12-26,56.1698
2014-12-29,52.5975
2014-12-30,47.7747
2014-12-31,41.2093
2015-01-02,42.4845
2015-01-05,34.6521
2015-01-06,32.058
2015-01-07,34.9933
2015-01-08,42.46
2015-01-09,44.9557
2015-01-12,40.4712
2015-01-13,38.4662
2015-01-14,45.5263
2015-01-15,47.4805
2015-01-16,54.6225
2015-01-20,51.4221
2015-01-21,56.4565
2015-01-22,59.1079
2015-01-23,60.2816
2015-01-26,58.3041
2015-01-27,60.8381
2015-01-28,50.9005
